log_index,timestamp,days_ago,extra_var,description,file_time
3,2026-08-19 17:17:34,21.0,7.0,[Setup] Complete,2026-08-19 21:37:29
6,2026-08-19 17:17:34,21.0,7.0,[Setup] Complete,2026-08-19 21:37:29
14,2026-08-19 17:17:34,21.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:37:29
73,2026-08-19 21:34:43,21.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:37:29
0,2026-09-02 17:36:00,6.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-03 00:32:00,6.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-03 06:20:00,6.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-03 11:26:00,6.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-03 18:23:00,5.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-04 01:46:00,5.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-04 07:27:00,5.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-04 11:59:00,5.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-04 19:23:00,4.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-05 09:17:00,4.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-05 13:00:00,4.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-05 20:54:00,3.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-06 16:20:00,2.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-06 22:53:00,2.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-07 12:45:00,2.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-07 17:58:00,1.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-08 00:14:00,1.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-08 06:49:00,1.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-08 13:21:00,1.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-08 19:04:00,0.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-09 01:09:00,0.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
0,2026-09-09 07:29:00,0.0,51.0,[Logs] Missed HTS Scan,2026-09-09 15:45:20
0,2026-09-09 13:52:00,0.0,52.0,[Logs] Missed LTS Scan,2026-09-09 15:45:20
